GroupContents,singleContents,CLCT_ITEM,CLCT_LSL,CLCT_USL,Unit,digit length,SingleMethodName,isUse(1/0),Audi Nor,Audi Mir,Pors Nor,Pors Mir,Mas Nor,Pors FL Nor,E_UP,Pors FL Mir,selfDiag1
CMC Test 2,Open Wire Detect Cell 2 Terminal Check,WPFMMTQ4039,100,5000,,1,OpenWireDetect2,1,0,0,0,0,0,1,0,0,
CMC Test 2,Open Wire Detect Cell 3 Terminal Check,WPFMMTQ4040,100,5000,,1,OpenWireDetect3,1,0,0,0,0,0,1,0,0,
CMC Test 2,Open Wire Detect Cell 4 Terminal Check,WPFMMTQ4041,100,5000,,1,OpenWireDetect4,1,0,0,0,0,0,1,0,0,
CMC Test 2,Open Wire Detect Cell 5 Terminal Check,WPFMMTQ4042,100,5000,,1,OpenWireDetect5,1,0,0,0,0,0,1,0,0,
CMC Test 2,Open Wire Detect Cell 6 Terminal Check,WPFMMTQ4043,100,5000,,1,OpenWireDetect6,1,0,0,0,0,0,1,0,0,
CMC Test 2,Over Voltage Fault Check,WPFMMTQ4044,0,0,,0,OverVoltFault,1,0,0,0,0,0,1,0,0,
CMC Test 2,Under Voltage Fault Check,WPFMMTQ4045,0,0,,0,UnderVoltFault,1,0,0,0,0,0,1,0,0,
Normal Sleep,Normal Sleep,WPFMMTQ4046,0,0,,0,NormalSleep,1,0,0,0,0,0,1,0,0,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Barcode Reading,Barcode Reading,,0,0,,0,BarcodeReading,1,0,0,0,0,0,0,1,0,
Module Temperature,Module Temperature #1,W2M1MTQ4001,7,14,kOhm,3,ThermistorCheck1,1,0,0,0,0,0,0,1,0,
Module Temperature,Module Temperature #2,W2M1MTQ4002,7,14,kOhm,3,ThermistorCheck2,1,0,0,0,0,0,0,1,0,
Module Temperature,Temperature Deviation,W2M1MTQ4003,0,100,C,3,ThermistorDeviation,0,0,0,0,0,0,0,1,0,
Voltages,Cell1 Voltage,W2M1MTQ4004,3.57,3.61,V,4,CellVoltage1,1,0,0,0,0,0,0,1,0,
Voltages,Cell2 Voltage,W2M1MTQ4005,3.57,3.61,V,4,CellVoltage2,1,0,0,0,0,0,0,1,0,
Voltages,Cell3 Voltage,W2M1MTQ4006,3.57,3.61,V,4,CellVoltage3,1,0,0,0,0,0,0,1,0,
Voltages,Cell4 Voltage,W2M1MTQ4007,3.57,3.61,V,4,CellVoltage4,1,0,0,0,0,0,0,1,0,
Voltages,Cell5 Voltage,W2M1MTQ4008,3.57,3.61,V,4,CellVoltage5,1,0,0,0,0,0,0,1,0,
Voltages,Cell6 Voltage,W2M1MTQ4009,3.57,3.61,V,4,CellVoltage6,1,0,0,0,0,0,0,1,0,
Voltages,Cell Voltage Deviation,W2M1MTQ4010,0,13,mV,1,CellVoltageDeviation,1,0,0,0,0,0,0,1,0,
Voltages,Module Voltage,W2M1MTQ4011,21.42,21.66,V,2,ModuleVoltage,1,0,0,0,0,0,0,1,0,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Barcode Reading,Barcode Reading,,0,0,,0,BarcodeReading,1,0,0,0,0,0,0,0,1,
H/W Version,H/W Version,WPFMMTQ4001,767676,767676,,0,HW_Version,1,0,0,0,0,0,0,0,1,
Module Temperature,Module Temperature #1,WPFMMTQ4002,17,36,C,0,ThermistorCheck1,1,0,0,0,0,0,0,0,1,
Module Temperature,Module Temperature #2,WPFMMTQ4003,17,36,C,0,ThermistorCheck2,1,0,0,0,0,0,0,0,1,
Module Temperature,Module Temperature #3,WPFMMTQ4004,17,36,C,0,ThermistorCheck3,0,0,0,0,0,0,0,0,1,
Module Temperature,Temperature Deviation,WPFMMTQ4005,-3,3,C,0,ThermistorDeviation,1,0,0,0,0,0,0,0,1,
Module Temperature,PCB Temp,WPFMMTQ4006,13,36,C,0,PCBTemp,1,0,0,0,0,0,0,0,1,
CMC Test 1,Cell #2/4/6 Balancing On Status Check,WPFMMTQ4007,10101,10101,,0,CellEvenBalancingOn,1,0,0,0,0,0,0,0,1,
CMC Test 1,Cell #2/4/6 Balancing Off Status Check,WPFMMTQ4008,0,0,,0,CellEvenBalancingOff,1,0,0,0,0,0,0,0,1,
CMC Test 1,Cell #1/3/5 Balancing On Status Check,WPFMMTQ4009,101010,101010,,0,CellOddBalancingOn,1,0,0,0,0,0,0,0,1,
CMC Test 1,Cell #1/3/5 Balancing Off Status Check,WPFMMTQ4010,0,0,,0,CellOddBalancingOff,1,0,0,0,0,0,0,0,1,
CMC Test 1,High contact resistance Cell 1 Check,WPFMMTQ4011,30,113,mV,1,HighContactResist1,1,0,0,0,0,0,0,0,1,
CMC Test 1,High contact resistance Cell 2 Check,WPFMMTQ4012,30,103,mV,1,HighContactResist2,1,0,0,0,0,0,0,0,1,
CMC Test 1,High contact resistance Cell 3 Check,WPFMMTQ4013,30,103,mV,1,HighContactResist3,1,0,0,0,0,0,0,0,1,
CMC Test 1,High contact resistance Cell 4 Check,WPFMMTQ4014,30,105,mV,1,HighContactResist4,1,0,0,0,0,0,0,0,1,
CMC Test 1,High contact resistance Cell 5 Check,WPFMMTQ4015,30,106,mV,1,HighContactResist5,1,0,0,0,0,0,0,0,1,
CMC Test 1,High contact resistance Cell 6 Check,WPFMMTQ4016,30,108,mV,1,HighContactResist6,1,0,0,0,0,0,0,0,1,
Voltages,Cell1 Voltage,WPFMMTQ4017,3.581,3.627,V,4,CellVoltage1,1,0,0,0,0,0,0,0,1,
Voltages,Cell2 Voltage,WPFMMTQ4018,3.581,3.627,V,4,CellVoltage2,1,0,0,0,0,0,0,0,1,
Voltages,Cell3 Voltage,WPFMMTQ4019,3.581,3.627,V,4,CellVoltage3,1,0,0,0,0,0,0,0,1,
Voltages,Cell4 Voltage,WPFMMTQ4020,3.581,3.627,V,4,CellVoltage4,1,0,0,0,0,0,0,0,1,
Voltages,Cell5 Voltage,WPFMMTQ4021,3.581,3.627,V,4,CellVoltage5,1,0,0,0,0,0,0,0,1,
Voltages,Cell6 Voltage,WPFMMTQ4022,3.581,3.627,V,4,CellVoltage6,1,0,0,0,0,0,0,0,1,
Voltages,Cell Voltage Deviation,WPFMMTQ4023,0,15,mV,1,CellVoltageDeviation,1,0,0,0,0,0,0,0,1,
Voltages,Module Voltage,WPFMMTQ4024,21.244,21.74,V,3,ModuleVoltage,1,0,0,0,0,0,0,0,1,
Voltages,Cell1 Voltage deviation(CMC-Input Cell average),WPFMMTQ4025,-15,15,mV,1,CellVoltage1_dev,1,0,0,0,0,0,0,0,1,
Voltages,Cell2 Voltage deviation(CMC-Input Cell average),WPFMMTQ4026,-15,15,mV,1,CellVoltage2_dev,1,0,0,0,0,0,0,0,1,
Voltages,Cell3 Voltage deviation(CMC-Input Cell average),WPFMMTQ4027,-15,15,mV,1,CellVoltage3_dev,1,0,0,0,0,0,0,0,1,
Voltages,Cell4 Voltage deviation(CMC-Input Cell average),WPFMMTQ4028,-15,15,mV,1,CellVoltage4_dev,1,0,0,0,0,0,0,0,1,
Voltages,Cell5 Voltage deviation(CMC-Input Cell average),WPFMMTQ4029,-15,15,mV,1,CellVoltage5_dev,1,0,0,0,0,0,0,0,1,
Voltages,Cell6 Voltage deviation(CMC-Input Cell average),WPFMMTQ4030,-15,15,mV,1,CellVoltage6_dev,1,0,0,0,0,0,0,0,1,
CMC Test 2,Balance Load Open Check,WPFMMTQ4031,0,0,,0,BalanceSwitchOpen,1,0,0,0,0,0,0,0,1,
CMC Test 2,Balance Load Short Cell 1 Check,WPFMMTQ4032,0,20,,1,BalanceSwitchShort1,1,0,0,0,0,0,0,0,1,
CMC Test 2,Balance Load Short Cell 2 Check,WPFMMTQ4033,0,20,,1,BalanceSwitchShort2,1,0,0,0,0,0,0,0,1,
CMC Test 2,Balance Load Short Cell 3 Check,WPFMMTQ4034,0,20,,1,BalanceSwitchShort3,1,0,0,0,0,0,0,0,1,
CMC Test 2,Balance Load Short Cell 4 Check,WPFMMTQ4035,0,20,,1,BalanceSwitchShort4,1,0,0,0,0,0,0,0,1,
CMC Test 2,Balance Load Short Cell 5 Check,WPFMMTQ4036,0,20,,1,BalanceSwitchShort5,1,0,0,0,0,0,0,0,1,
CMC Test 2,Balance Load Short Cell 6 Check,WPFMMTQ4037,0,20,,1,BalanceSwitchShort6,1,0,0,0,0,0,0,0,1,
CMC Test 2,Open Wire Detect Cell 1 Terminal Check,WPFMMTQ4038,100,5000,,1,OpenWireDetect1,1,0,0,0,0,0,0,0,1,
CMC Test 2,Open Wire Detect Cell 2 Terminal Check,WPFMMTQ4039,100,5000,,1,OpenWireDetect2,1,0,0,0,0,0,0,0,1,
CMC Test 2,Open Wire Detect Cell 3 Terminal Check,WPFMMTQ4040,100,5000,,1,OpenWireDetect3,1,0,0,0,0,0,0,0,1,
CMC Test 2,Open Wire Detect Cell 4 Terminal Check,WPFMMTQ4041,100,5000,,1,OpenWireDetect4,1,0,0,0,0,0,0,0,1,
CMC Test 2,Open Wire Detect Cell 5 Terminal Check,WPFMMTQ4042,100,5000,,1,OpenWireDetect5,1,0,0,0,0,0,0,0,1,
CMC Test 2,Open Wire Detect Cell 6 Terminal Check,WPFMMTQ4043,100,5000,,1,OpenWireDetect6,1,0,0,0,0,0,0,0,1,
CMC Test 2,Over Voltage Fault Check,WPFMMTQ4044,0,0,,0,OverVoltFault,1,0,0,0,0,0,0,0,1,
CMC Test 2,Under Voltage Fault Check,WPFMMTQ4045,0,0,,0,UnderVoltFault,1,0,0,0,0,0,0,0,1,
Normal Sleep,Normal Sleep,WPFMMTQ4046,0,0,,0,NormalSleep,1,0,0,0,0,0,0,0,1,
